Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,",Bank of Tokyo-Mitsubishi UFJ (Holland) N.V.,Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,",Bank of Tokyo-Mitsubishi UFJ (Holland) N.V.,Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,",Bank of Tokyo-Mitsubishi UFJ (Holland) N.V.,Netherlands,NL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,",Bank of Tokyo-Mitsubishi UFJ (Malaysia) Berhad ,Malaysia,MY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,",Bank of Tokyo-Mitsubishi UFJ (Polska) Spolka Akcyjna,Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",Chile,CL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",Indonesia,ID,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",India,IN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",New Zealand,NZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",Philippines,PH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",Pakistan,PK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",Taiwan,TW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BOTKJPJT,BOTKJPJT,"BANK OF TOKYO-MITSUBISHI UFJ,","The Bank of Tokyo-Mitsubishi UFJ, Ltd.",United Arab Emirates,AE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.bk.mufg.jp/english/productsandservices/transaction/swiftconnectivity.html
BREDFRPP,BREDFRPP,BRED BP,BRED BP,France,FR,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,bred.swift@bred.fr,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,
BSABESBB,BSABFRPP,"BANCO DE SABADELL, S.A",BANCO DE SABADELL,France,FR,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.bancsabadell.com/cs/Satellite/SabAtl/SWIFT-para-ACCESO-DE-EMPRESAS/6000015504022/en/
BSABESBB,BSABGB2L,"BANCO DE SABADELL, S.A",BANCO DE SABADELL,United Kingdom,GB,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.bancsabadell.com/cs/Satellite/SabAtl/SWIFT-para-ACCESO-DE-EMPRESAS/6000015504022/en/
BSABESBB,BSABMAMC,"BANCO DE SABADELL, S.A",BANCO DE SABADELL S.A,Morocco,MA,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.bancsabadell.com/cs/Satellite/SabAtl/SWIFT-para-ACCESO-DE-EMPRESAS/6000015504022/en/
BSABESBB,BSABESBB,"BANCO DE SABADELL, S.A","BANCO DE SABADELL, S.A",Spain,ES,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.bancsabadell.com/cs/Satellite/SabAtl/SWIFT-para-ACCESO-DE-EMPRESAS/6000015504022/en/
BSAMLKLX,BSAMLKLX,Sampath Bank PLC-PQ144,Sampath Bank PLC-PQ144,Sri Lanka,LK,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
BSCHESMM,BMSXMXMM,BANCO SANTANDER S.A,BANCO SANTANDER (MEXICO) S.A.,Mexico,MX,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.santandergbm.com/csdlv/Satellite?appID=bmgl.wc.CFBMGLQP02&c=GSInformacion&canal=CBMGLQP02&cid=1324568082329&empr=CFBMGLQP02&leng=es_ES&pagename=CFBMGLQP02%2FGSInformacion%2FCFQP02_GSInformacionDetalle2_PT14
BSCHESMM,BSCHESMG,BANCO SANTANDER S.A,BANCO SANTANDER S.A,Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.santandergbm.com/csdlv/Satellite?appID=bmgl.wc.CFBMGLQP02&c=GSInformacion&canal=CBMGLQP02&cid=1324568082329&empr=CFBMGLQP02&leng=es_ES&pagename=CFBMGLQP02%2FGSInformacion%2FCFQP02_GSInformacionDetalle2_PT14
BSCHESMM,TOTAPTPL,BANCO SANTANDER S.A,"BANCO SANTANDER TOTTA, SA",Portugal,PT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.santandergbm.com/csdlv/Satellite?appID=bmgl.wc.CFBMGLQP02&c=GSInformacion&canal=CBMGLQP02&cid=1324568082329&empr=CFBMGLQP02&leng=es_ES&pagename=CFBMGLQP02%2FGSInformacion%2FCFQP02_GSInformacionDetalle2_PT14
BSCHESMM,BSCHCLRM,BANCO SANTANDER S.A,"BANCO SANTANDER, SANTIAGO",Chile,CL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.santandergbm.com/csdlv/Satellite?appID=bmgl.wc.CFBMGLQP02&c=GSInformacion&canal=CBMGLQP02&cid=1324568082329&empr=CFBMGLQP02&leng=es_ES&pagename=CFBMGLQP02%2FGSInformacion%2FCFQP02_GSInformacionDetalle2_PT14
BSUIFRPP,AGRICHGG,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE (SUISSE) sa,Switzerland,CH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYBEBB,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Belgium,BE,entry,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYCNSH,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,China,CN,not certified,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,BSUIFIHH,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Finland,FI,not certified,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,BSUIFRPP,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,BSUIDEFF,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Germany,DE,entry,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYHKHH,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Hong Kong,HK,entry,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,BSUIITMM,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Italy,IT,entry,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,BSUIJPJT,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Japan,JP,not certified,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYKRSE,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Korea,,,no,no,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
BSUIFRPP,CRLYRU2P,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Russia,RU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYSGSG,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Singapore,SG,entry,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,BSUIESMM,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Spain,ES,entry,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYTWTP,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Taiwan,TW,not certified,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,BSUIAEAD,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,United Arab Emirates,AE,entry,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYGB2L,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,United Kingdom,GB,entry,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYINBB,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,India,IN,not certified,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,BSUISESS,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,Sweden,SE,not certified,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
BSUIFRPP,CRLYUS33,CREDIT AGRICOLE CORPORATE INVESTMENT BANK,CREDIT AGRICOLE CIB,United States,US,not certified,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,TB_MARKETING@ca-cib.com ,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.ca-cib.com/our-solutions/international-trade-transaction-banking/transaction-banking
CHASUS33,CHASBRSP,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Brazil,BR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASMXMX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Mexico,MX,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASIE2X,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Ireland,IE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASDEFX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASMYKX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Malaysia,MY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASBEBX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASAU2X,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Australia,AU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASCATT,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Canada,CA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASNZ2A,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",New Zealand,NZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,MGTCZAJJ,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",South Africa,ZA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASCHGX,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Switzerland,CH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Saudi Arabia,SA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Bahrain,BH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Botswana,BW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASSGSG,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Brunei Darussalam,BN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Croatia,HR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
CHASUS33,CHASGB2L,"JPMorgan Chase Bank, N.A.","JPMORGAN CHASE BANK, N. A.",Cyprus,CY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,http://www.jpmorgan.com/tss/General/SWIFT_for_Corporates/1297207774610
